"district","year","total.revenue","total.revenue.per.pupil","local.revenue.per.pupil","local.percent.total.revenue","state.revenue.per.pupil","state.percent.total.revenue","federal.revenue.per.pupil","federal.percent.total.revenue","other.revenue.per.pupil","other.percent.total.revenue"
"Warden School District","2010-11",9978718,10066.5,1067.15,10.6,7090.66,70.4,1908.69,19,0,"-"
"Washougal School District","2010-11",26850511,9400.22,2104.37,22.4,6185.16,65.8,1060.28,11.3,50.41,0.5
"Washtucna School District","2010-11",2071798,37022.84,3013.27,8.1,31242.54,84.4,2767.03,7.5,0,"-"
"Waterville School District","2010-11",3585983,13257.85,2342.13,17.7,9717.68,73.3,907.14,6.8,290.91,2.2
"Wellpinit School District","2010-11",7807747,11859.75,258.99,2.2,5755.27,48.5,5845.48,49.3,0,"-"
"Wenatchee School District","2010-11",74018385,9429.89,1482.99,15.7,6403.2,67.9,1535.03,16.3,8.66,0.1
"West Valley School District (Spokane)","2010-11",35536499,9559.71,2040.73,21.3,6318.42,66.1,1049.71,11,150.85,1.6
"West Valley School District (Yakima)","2010-11",42510294,8883.26,1659.6,18.7,6224.94,70.1,988.14,11.1,10.58,0.1
"White Pass School District","2010-11",5209097,12816.4,2763.47,21.6,7623.75,59.5,2318.37,18.1,110.82,0.9
"White River School District","2010-11",37219523,9523.49,2339.19,24.6,6127.88,64.3,892.59,9.4,163.82,1.7
"White Salmon Valley School District","2010-11",11706158,9781.46,2214.39,22.6,6480.07,66.2,926.38,9.5,160.62,1.6
"Wilbur School District","2010-11",3442205,13688.33,1987.61,14.5,9689.52,70.8,1958.15,14.3,53.06,0.4
"Willapa Valley School District","2010-11",4143132,13600.54,2514.2,18.5,9556.25,70.3,1425.99,10.5,104.1,0.8
"Wilson Creek School District","2010-11",2367436,19547.82,1994.98,10.2,15952.42,81.6,1394.3,7.1,206.12,1.1
"Winlock School District","2010-11",7367785,9819.92,1003.99,10.2,7208.51,73.4,1576.2,16.1,31.21,0.3
"Wishkah Valley School District","2010-11",2163527,18162.58,5017.16,27.6,11612.61,63.9,1496.34,8.2,36.47,0.2
"Wishram School District","2010-11",1736701,26624.27,241.64,0.9,22044.86,82.8,2975.2,11.2,1362.57,5.1
"Woodland School District","2010-11",20899784,10134.65,1662.55,16.4,6954.21,68.6,931.7,9.2,586.19,5.8
"Yakima School District","2010-11",158176512,10384.36,956.74,9.2,7214.08,69.5,2177.3,21,36.23,0.3
"Yelm School District","2010-11",48009473,9076.68,1737.34,19.1,6164.99,67.9,1172.82,12.9,1.52,0
"Zillah School District","2010-11",11166474,8503.45,792.43,9.3,6548.89,77,1162.12,13.7,0,"-"
"Aberdeen School District","2011-12",35378037,10959.54,1792.83,16.4,7570.18,69.1,1517.61,13.8,78.93,0.7
"Adna School District","2011-12",5401362,9025.89,1361.4,15.1,6944,76.9,700.46,7.8,20.02,0.2
"Almira School District","2011-12",2136265,28659.32,2805.41,9.8,24438.82,85.3,1318.89,4.6,96.19,0.3
"Anacortes School District","2011-12",25944955,9801.94,3197.26,32.6,5954.71,60.8,619.56,6.3,30.41,0.3
"Arlington School District","2011-12",47059511,9158.54,2435.85,26.6,6188.81,67.6,533.47,5.8,0.41,0
"Asotin-Anatone School District","2011-12",6256041,10675.66,2444.08,22.9,7430.6,69.6,800.97,7.5,0,"-"
"Auburn School District","2011-12",135821910,9649.4,2355.84,24.4,6296.52,65.3,926.58,9.6,70.46,0.7
"Bainbridge Island School District","2011-12",36539417,9647.42,3217.04,33.3,6012.93,62.3,374.5,3.9,42.95,0.4
"Battle Ground School District","2011-12",115973503,9282.83,1960.93,21.1,6665.64,71.8,652.64,7,3.62,0
"Bellevue School District","2011-12",185893169,10349.1,3621.54,35,5809.09,56.1,611.85,5.9,306.63,3
"Bellingham School District","2011-12",101041015,9646.66,2770,28.7,6050.16,62.7,749.48,7.8,77.01,0.8
"Benge School District","2011-12",363486,40387.3,2997.37,7.4,35266.86,87.3,2026.96,5,96.11,0.2
"Bethel School District","2011-12",161818613,9304.03,1963.39,21.1,6591.57,70.8,731.3,7.9,17.77,0.2
"Bickleton School District","2011-12",1687260,17873.52,898.81,5,16373.06,91.6,601.65,3.4,0,"-"
"Blaine School District","2011-12",20840740,9924.45,2815.68,28.4,6271.68,63.2,784,7.9,53.09,0.5
"Boistfort School District","2011-12",1229647,15059.98,3754.32,24.9,9398.33,62.4,1827.96,12.1,79.36,0.5
"Bremerton School District","2011-12",51702946,10123.36,2378.82,23.5,6453.99,63.8,1269.84,12.5,20.71,0.2
"Brewster School District","2011-12",10330588,10816.92,1215.88,11.2,7455.6,68.9,2109.67,19.5,35.77,0.3
"Bridgeport School District","2011-12",7837562,9974.25,302.72,3,7837.17,78.6,1837.63,18.4,-3.27,"-"
"Brinnon School District","2011-12",921197,26516.91,8482.54,32,14272.49,53.8,3741.56,14.1,20.32,0.1
"Burlington-Edison School District","2011-12",36362726,9816.17,2168.14,22.1,6428.45,65.5,1175.09,12,44.5,0.5
"Camas School District","2011-12",52300352,8684.07,2196.25,25.3,6141.03,70.7,346.43,4,0.37,0
"Cape Flattery School District","2011-12",7364897,17306.37,1369.44,7.9,10155.29,58.7,5774.53,33.4,7.1,0
"Carbonado School District","2011-12",1908118,10891.09,3120.94,28.7,7215.27,66.2,516.86,4.7,38.01,0.3
"Cascade School District","2011-12",11233070,9488.03,2199.14,23.2,6597.36,69.5,687.06,7.2,4.48,0
"Cashmere School District","2011-12",12714354,8907.35,1589.21,17.8,6571.43,73.8,739.67,8.3,7.04,0.1
"Castle Rock School District","2011-12",12180605,9290.44,1603.17,17.3,6782.52,73,885.99,9.5,18.76,0.2
"Centerville School District","2011-12",1017064,12642.19,3864.6,30.6,7950.68,62.9,826.91,6.5,0,"-"
"Central Kitsap School District","2011-12",107785839,9631.49,1824.93,18.9,6649.02,69,1058.61,11,98.94,1
"Central Valley School District","2011-12",110792212,9101.42,2034.96,22.4,6435.83,70.7,617.34,6.8,13.29,0.1
"Centralia School District","2011-12",33025427,9523.53,1584.24,16.6,6492.37,68.2,1245.81,13.1,201.11,2.1
"Chehalis School District","2011-12",28766508,9815.91,1484.6,15.1,6911.34,70.4,838.08,8.5,581.89,5.9
"Cheney School District","2011-12",38268315,9580.92,2158.89,22.5,6602.25,68.9,794.07,8.3,25.71,0.3
"Chewelah School District","2011-12",8396396,10033.81,1408.1,14,7177.12,71.5,1274.89,12.7,173.7,1.7
"Chimacum School District","2011-12",10654821,9858.27,2305.47,23.4,6393.22,64.9,978.93,9.9,180.65,1.8
"Clarkston School District","2011-12",25694960,9727.85,1644.22,16.9,6835.35,70.3,1240.77,12.8,7.51,0.1
"Cle Elum-Roslyn School District","2011-12",8310151,9228.99,2621.73,28.4,5937.92,64.3,669.34,7.3,0,"-"
"Clover Park School District","2011-12",131900489,11134.17,1897.27,17,7153.89,64.3,2061.63,18.5,21.38,0.2
"Colfax School District","2011-12",5975439,9822.85,1921.35,19.6,7241.01,73.7,628.9,6.4,31.59,0.3
"College Place School District","2011-12",8793869,11743.32,3489.1,29.7,6637.6,56.5,1580.34,13.5,36.28,0.3
"Colton School District","2011-12",2567467,15301.67,3733.77,24.4,11101.26,72.5,463.29,3,3.35,0
"Columbia (Stevens) School District","2011-12",3058603,17360.67,675.03,3.9,13153.18,75.8,3255.05,18.7,277.41,1.6
"Columbia (Walla Walla) School District","2011-12",8617787,9986.2,2663.77,26.7,6561.53,65.7,696.42,7,64.48,0.6
"Colville School District","2011-12",22545557,8603.53,1139.66,13.2,6681.07,77.7,763.35,8.9,19.45,0.2
"Concrete School District","2011-12",6943463,12638.27,2933.61,23.2,8050.68,63.7,1638.75,13,15.23,0.1
"Conway School District","2011-12",4279275,10162.38,3305.22,32.5,6208.53,61.1,648.63,6.4,0,"-"
"Cosmopolis School District","2011-12",1943850,13166.15,4152.17,31.5,7701.06,58.5,1221.83,9.3,91.1,0.7
"Coulee-Hartline School District","2011-12",2990644,15098.16,2477.92,16.4,10564.87,70,1143.74,7.6,911.63,6
"Coupeville School District","2011-12",9407311,9485.57,2701.7,28.5,6134.14,64.7,623.26,6.6,26.46,0.3
"Crescent School District","2011-12",3301176,9608.73,1315.4,13.7,7306.59,76,982.61,10.2,4.13,0
"Creston School District","2011-12",2162474,20715.34,3332.38,16.1,16188.56,78.1,1149.27,5.5,45.13,0.2
"Curlew School District","2011-12",2634349,12718.34,964.41,7.6,9466.18,74.4,2271.41,17.9,16.34,0.1
"Cusick School District","2011-12",3509163,13126.71,1590.26,12.1,8528.5,65,2518.64,19.2,489.31,3.7
"Damman School District","2011-12",488453,14554.63,5497.82,37.8,8978.07,61.7,78.74,0.5,0,"-"
"Darrington School District","2011-12",5615028,12968.93,2747.72,21.2,7726.05,59.6,1556.84,12,938.32,7.2
"Davenport School District","2011-12",5845118,10716.92,2000.22,18.7,8025.59,74.9,691.11,6.4,0,"-"
"Dayton School District","2011-12",5340496,11754.92,2716.71,23.1,8111.32,69,907.08,7.7,19.81,0.2
"Deer Park School District","2011-12",21685224,9157.8,957.7,10.5,7084.21,77.4,939.58,10.3,176.31,1.9
"Dieringer School District","2011-12",14346406,10183.64,3846.73,37.8,5959,58.5,317.65,3.1,60.25,0.6
"Dixie School District","2011-12",851751,34993.88,9410.67,26.9,19432.88,55.5,3823.36,10.9,2326.97,6.6
"East Valley School District (Spokane)","2011-12",43953371,9661.27,2070.23,21.4,6810.2,70.5,780.84,8.1,0,"-"
"East Valley School District (Yakima)","2011-12",25962798,9304.39,1499.37,16.1,6684.6,71.8,1119.03,12,1.4,0
"Eastmont School District","2011-12",51023505,9371.05,1568.99,16.7,6791.5,72.5,996.74,10.6,13.82,0.1
"Easton School District","2011-12",1987952,24210.84,4812.46,19.9,18852.86,77.9,545.51,2.3,0,"-"
"Eatonville School District","2011-12",17365653,9105.46,2396.43,26.3,6101.88,67,607.14,6.7,0,"-"
"Edmonds School District","2011-12",188578751,9536.08,2626.97,27.5,6151.8,64.5,632.84,6.6,124.46,1.3
"Ellensburg School District","2011-12",26917946,9245.26,2171.93,23.5,6215.01,67.2,788.12,8.5,70.2,0.8
"Elma School District","2011-12",15620359,10133.42,2082.23,20.5,6735,66.5,893.7,8.8,422.49,4.2
"Endicott School District","2011-12",2285969,30257.7,3591.37,11.9,25057.4,82.8,1412.37,4.7,196.56,0.6
"Entiat School District","2011-12",3892243,11914.91,1805.84,15.2,9049.2,75.9,1049.25,8.8,10.62,0.1
"Enumclaw School District","2011-12",41525841,9630.81,2591.29,26.9,6401.81,66.5,617.05,6.4,20.67,0.2
"Ephrata School District","2011-12",21057993,9467.24,1712.63,18.1,6827.19,72.1,861.73,9.1,65.69,0.7
"Evaline School District","2011-12",560574,20179.05,7346.35,36.4,10459.84,51.8,2069.67,10.3,303.19,1.5
"Everett School District","2011-12",182871811,10089.55,2722.43,27,6580.62,65.2,736.35,7.3,50.15,0.5
"Evergreen School District (Clark)","2011-12",241867638,9335.97,1795.6,19.2,6632.12,71,710.18,7.6,198.07,2.1
"Evergreen School District (Stevens)","2011-12",396882,25359.86,667.65,2.6,18918.09,74.6,5774.12,22.8,0,"-"
"Federal Way School District","2011-12",203580812,9524.24,2278.48,23.9,6420.88,67.4,811.59,8.5,13.29,0.1
"Ferndale School District","2011-12",48908155,9755.66,2411.74,24.7,6448.5,66.1,869.69,8.9,25.74,0.3
"Fife School District","2011-12",32286355,9475.45,2464.5,26,6092.44,64.3,765.3,8.1,153.21,1.6
"Finley School District","2011-12",9452563,9966.22,1672.14,16.8,7332.98,73.6,947.26,9.5,13.84,0.1
"Franklin Pierce School District","2011-12",73732829,10118.49,2102.23,20.8,6646.66,65.7,1354.79,13.4,14.81,0.1
"Freeman School District","2011-12",8338039,9114.6,1997.52,21.9,6770.29,74.3,346.8,3.8,0,"-"
"Garfield School District","2011-12",2240301,22450.16,2801.22,12.5,18009.62,80.2,1259.71,5.6,379.61,1.7
"Glenwood School District","2011-12",1915339,29042.3,2415.57,8.3,24713.35,85.1,1913.37,6.6,0,"-"
