"district","year","total.revenue","total.revenue.per.pupil","local.revenue.per.pupil","local.percent.total.revenue","state.revenue.per.pupil","state.percent.total.revenue","federal.revenue.per.pupil","federal.percent.total.revenue","other.revenue.per.pupil","other.percent.total.revenue"
"Aberdeen School District","2009-10",36249014,10777.68,1611.64,15,7048.93,65.4,2025.1,18.8,92.02,0.9
"Adna School District","2009-10",5441116,9352.85,1303.83,13.9,6687.39,71.5,1282.4,13.7,79.23,0.8
"Almira School District","2009-10",2146450,32910.92,3309.8,10.1,26282.95,79.9,3244.85,9.9,73.32,0.2
"Anacortes School District","2009-10",26898296,9970.12,3075.75,30.8,5996.01,60.1,851.53,8.5,46.84,0.5
"Arlington School District","2009-10",47174805,8862.7,2003.03,22.6,6099.83,68.8,741.01,8.4,18.82,0.2
"Asotin-Anatone School District","2009-10",6522974,10340.63,1861.12,18,7178.43,69.4,1301.08,12.6,0,"-"
"Auburn School District","2009-10",134696828,9403.84,2013.79,21.4,6108.37,65,1216.31,12.9,65.37,0.7
"Bainbridge Island School District","2009-10",36934695,9501.5,2758.23,29,6182.17,65.1,549.64,5.8,11.46,0.1
"Battle Ground School District","2009-10",111308515,8593.22,1276.73,14.9,6293.07,73.2,1018.22,11.8,5.21,0.1
"Bellevue School District","2009-10",171293033,10012.78,3062.48,30.6,5928.19,59.2,828.09,8.3,194.02,1.9
"Bellingham School District","2009-10",100059399,9621.45,2357.42,24.5,6181.9,64.3,1003.33,10.4,78.8,0.8
"Benge School District","2009-10",403906,59573.17,4067,6.8,52639.45,88.4,2866.72,4.8,0,"-"
"Bethel School District","2009-10",160119934,9348.47,1694.35,18.1,6394.14,68.4,1246.1,13.3,13.88,0.1
"Bickleton School District","2009-10",1669834,19110.02,848.54,4.4,17346.13,90.8,854.4,4.5,60.95,0.3
"Blaine School District","2009-10",20582664,9772.93,2459.99,25.2,6357.59,65.1,946.58,9.7,8.76,0.1
"Boistfort School District","2009-10",1292896,15457.86,3754.09,24.3,9500.67,61.5,2177.94,14.1,25.17,0.2
"Bremerton School District","2009-10",53525931,10210.8,2228.76,21.8,6486.19,63.5,1490.46,14.6,5.39,0.1
"Brewster School District","2009-10",10009357,10598.19,998.7,9.4,6969.53,65.8,2601.24,24.5,28.73,0.3
"Bridgeport School District","2009-10",7702642,10063.02,292.67,2.9,7163.15,71.2,2607.21,25.9,0,"-"
"Brinnon School District","2009-10",892653,27825.84,8651.57,31.1,15090.19,54.2,4069.26,14.6,14.81,0.1
"Burlington-Edison School District","2009-10",37026487,9630.05,1962.66,20.4,6390.4,66.4,1244.26,12.9,32.73,0.3
"Camas School District","2009-10",49955117,8860.87,2148.77,24.3,6113.62,69,575.79,6.5,22.7,0.3
"Cape Flattery School District","2009-10",7864855,17557.83,943.58,5.4,9367.17,53.4,7235.76,41.2,11.32,0.1
"Carbonado School District","2009-10",1927043,11115.85,2960.66,26.6,6988.72,62.9,1166.47,10.5,0,"-"
"Cascade School District","2009-10",11213494,9443.82,1971.58,20.9,6492.15,68.7,980.09,10.4,0,"-"
"Cashmere School District","2009-10",12817851,9076.9,1359.72,15,6283.78,69.2,1429.66,15.8,3.74,0
"Castle Rock School District","2009-10",13131564,9695.48,1794.9,18.5,6451.18,66.5,1401.72,14.5,47.69,0.5
"Centerville School District","2009-10",958019,11698.85,2081.24,17.8,8009.12,68.5,1454.3,12.4,154.2,1.3
"Central Kitsap School District","2009-10",113101044,9899.3,1575.03,15.9,6444.01,65.1,1819.47,18.4,60.79,0.6
"Central Valley School District","2009-10",111135103,9146.43,1812.79,19.8,6284.68,68.7,1045.42,11.4,3.54,0
"Centralia School District","2009-10",32727753,9729.95,1497.74,15.4,6386.57,65.6,1593.83,16.4,251.81,2.6
"Chehalis School District","2009-10",27585820,9802.58,1475.9,15.1,6632.05,67.7,1165.16,11.9,529.47,5.4
"Cheney School District","2009-10",37897236,9821.04,1901.63,19.4,6601.35,67.2,1267.38,12.9,50.67,0.5
"Chewelah School District","2009-10",9653478,10229.61,1271.78,12.4,7052,68.9,1741.76,17,164.07,1.6
"Chimacum School District","2009-10",11151155,10017.21,2081.99,20.8,6225.98,62.2,1549.75,15.5,159.49,1.6
"Clarkston School District","2009-10",26793891,9860.34,1377.05,14,6484.84,65.8,1994.46,20.2,3.98,0
"Cle Elum-Roslyn School District","2009-10",8256241,9160.88,2023.01,22.1,6227.97,68,909.9,9.9,0,"-"
"Clover Park School District","2009-10",134274333,11579.35,1796.38,15.5,6800.16,58.7,2945.03,25.4,37.78,0.3
"Colfax School District","2009-10",6092011,9682.62,1786.93,18.5,6820.65,70.4,1045.72,10.8,29.31,0.3
"College Place School District","2009-10",8458844,11918.73,2994.2,25.1,6740.72,56.6,2146.52,18,37.3,0.3
"Colton School District","2009-10",2691170,15485.19,3168.57,20.5,11047.28,71.3,1260.27,8.1,9.07,0.1
"Columbia (Stevens) School District","2009-10",3376014,16723.7,666.61,4,11911.68,71.2,3902.87,23.3,242.55,1.5
"Columbia (Walla Walla) School District","2009-10",8630319,9945.4,2381,23.9,6339.78,63.7,1197.85,12,26.78,0.3
"Colville School District","2009-10",23056327,8465.92,833.97,9.9,6503.39,76.8,1120.18,13.2,8.37,0.1
"Concrete School District","2009-10",7804277,12470.88,2547.52,20.4,7435.65,59.6,2467.76,19.8,19.95,0.2
"Conway School District","2009-10",4487465,11090.02,3224.75,29.1,6665.12,60.1,1200.14,10.8,0,"-"
"Cosmopolis School District","2009-10",2033861,12219.78,3724.77,30.5,7020.5,57.5,1393.69,11.4,80.81,0.7
"Coulee-Hartline School District","2009-10",2859933,16154.16,2450.79,15.2,11099.32,68.7,1659.6,10.3,944.45,5.8
"Coupeville School District","2009-10",9913287,9414.33,2281.53,24.2,6239.36,66.3,893.44,9.5,0,"-"
"Crescent School District","2009-10",3441647,9780.19,1200.76,12.3,7488.31,76.6,1080.18,11,10.93,0.1
"Creston School District","2009-10",2228443,21322.77,3219.99,15.1,16549.22,77.6,1502.2,7,51.36,0.2
"Curlew School District","2009-10",2775322,12330.38,868.7,7,8999.1,73,2458.14,19.9,4.44,0
"Cusick School District","2009-10",3767639,12739.27,1478.61,11.6,8997.62,70.6,2253.37,17.7,9.67,0.1
"Damman School District","2009-10",439485,11968.54,3654.31,30.5,8239.64,68.8,74.59,0.6,0,"-"
"Darrington School District","2009-10",5730028,12440.36,2285.21,18.4,7848.69,63.1,2305.88,18.5,0.58,0
"Davenport School District","2009-10",5915371,10405.77,1660.93,16,7419.72,71.3,1325.13,12.7,0,"-"
"Dayton School District","2009-10",5751870,11619.24,2433.73,20.9,7897.06,68,1270.39,10.9,18.06,0.2
"Deer Park School District","2009-10",23093585,9092.64,817.96,9,6555.51,72.1,1558.61,17.1,160.56,1.8
"Dieringer School District","2009-10",13504657,10151.59,3228.11,31.8,6178.72,60.9,677.7,6.7,67.06,0.7
"Dixie School District","2009-10",807460,30783.83,8494.59,27.6,18202.22,59.1,4087.03,13.3,0,"-"
"East Valley School District (Spokane)","2009-10",42229202,9699.97,1718.43,17.7,6692.44,69,1262.24,13,26.86,0.3
"East Valley School District (Yakima)","2009-10",24486662,9006.42,1417.88,15.7,6431.35,71.4,1131.85,12.6,25.35,0.3
"Eastmont School District","2009-10",51267005,9524.14,1394.77,14.6,6560.04,68.9,1550.98,16.3,18.36,0.2
"Easton School District","2009-10",1927401,20140.03,3411.6,16.9,15760.24,78.3,968.19,4.8,0,"-"
"Eatonville School District","2009-10",18904566,9407.08,2207.02,23.5,6222.41,66.1,977.65,10.4,0,"-"
"Edmonds School District","2009-10",182207127,9156.63,2073.75,22.6,6184.37,67.5,788.56,8.6,109.95,1.2
"Ellensburg School District","2009-10",27319448,9387.16,1916.59,20.4,6272.92,66.8,1117.52,11.9,80.13,0.9
"Elma School District","2009-10",16397239,9699.75,1563.1,16.1,6698.51,69.1,1304.13,13.4,134.02,1.4
"Endicott School District","2009-10",2164335,32390.52,3667.89,11.3,25579.44,79,2907.11,9,236.08,0.7
"Entiat School District","2009-10",3798847,11206.7,1510.38,13.5,8149.59,72.7,1545.73,13.8,1,0
"Enumclaw School District","2009-10",43051871,9582.86,2287.87,23.9,6382.58,66.6,890.74,9.3,21.68,0.2
"Ephrata School District","2009-10",21288200,9558.06,1467.59,15.4,6577.17,68.8,1475.71,15.4,37.6,0.4
"Evaline School District","2009-10",643330,16474.52,3997.19,24.3,10557.62,64.1,1785.19,10.8,134.52,0.8
"Everett School District","2009-10",178596092,9740.89,2221.81,22.8,6469.42,66.4,1010.44,10.4,39.22,0.4
"Evergreen School District (Clark)","2009-10",234547539,9036.79,1644.03,18.2,6292.31,69.6,1086.76,12,13.68,0.2
"Evergreen School District (Stevens)","2009-10",395326,28177.19,210.57,0.7,20629.53,73.2,7337.09,26,0,"-"
"Federal Way School District","2009-10",205297756,9519.79,2015.59,21.2,6203.57,65.2,1283.01,13.5,17.63,0.2
"Ferndale School District","2009-10",49443712,9622.41,2105.81,21.9,6339.5,65.9,1171.13,12.2,5.97,0.1
"Fife School District","2009-10",32521057,9575.01,2196.13,22.9,6183.04,64.6,918.84,9.6,277,2.9
"Finley School District","2009-10",10000786,10227.22,1596.53,15.6,6981.83,68.3,1644.75,16.1,4.11,0
"Franklin Pierce School District","2009-10",72247432,9741.56,1829.3,18.8,6338.04,65.1,1552.3,15.9,21.92,0.2
"Freeman School District","2009-10",8824403,9688.63,1837.27,19,6607.06,68.2,846.98,8.7,397.32,4.1
"Garfield School District","2009-10",2344521,27752.38,3437.68,12.4,20471.88,73.8,3006.1,10.8,836.72,3
"Glenwood School District","2009-10",1939803,27452.63,2213.97,8.1,21414.48,78,3749.4,13.7,74.77,0.3
"Goldendale School District","2009-10",10044879,9993.31,1862.97,18.6,6416.39,64.2,1662.41,16.6,51.54,0.5
"Grand Coulee Dam School District","2009-10",8501946,12898.54,1507.12,11.7,7120.21,55.2,4257.03,33,14.19,0.1
"Grandview School District","2009-10",33550589,9537.78,392.06,4.1,6756.62,70.8,2377.76,24.9,11.34,0.1
"Granger School District","2009-10",15423489,10288.77,444.26,4.3,7024.2,68.3,2820.31,27.4,0,"-"
"Granite Falls School District","2009-10",20391584,9263.01,1888.86,20.4,6243.29,67.4,1112.78,12,18.07,0.2
"Grapeview School District","2009-10",1916922,9417.91,2596.18,27.6,6300.44,66.9,520.54,5.5,0.75,0
"Great Northern School District","2009-10",583866,12931.69,3181.75,24.6,8663.78,67,1086.17,8.4,0,"-"
"Green Mountain School District","2009-10",1414933,11213.61,2599.35,23.2,7864.83,70.1,586.09,5.2,163.35,1.5
"Griffin School District","2009-10",6891198,10996.18,3221.16,29.3,6738.92,61.3,812.21,7.4,223.89,2
"Harrington School District","2009-10",2487488,20053.92,3680.73,18.4,14287.59,71.2,1917.27,9.6,168.34,0.8
"Highland School District","2009-10",11485946,9753.94,1093.15,11.2,6708.24,68.8,1952.55,20,0,"-"
"Highline School District","2009-10",179949292,10079.04,2380.55,23.6,6266.19,62.2,1332.48,13.2,99.82,1
"Hockinson School District","2009-10",16615852,8541.19,1892.97,22.2,6155.83,72.1,471.16,5.5,21.24,0.2
"Hood Canal School District","2009-10",4285269,12514.29,2165.95,17.3,7213.68,57.6,3068.83,24.5,65.83,0.5
"Hoquiam School District","2009-10",18604189,9826.8,1473.27,15,6386.33,65,1573.33,16,393.87,4
"Inchelium School District","2009-10",3289521,16411.5,185.74,1.1,10145.25,61.8,5980.48,36.4,100.03,0.6
"Index School District","2009-10",642901,23575.4,6457.32,27.4,15556.72,66,1561.36,6.6,0,"-"
"Issaquah School District","2009-10",144918812,8863.32,2463.23,27.8,5800.51,65.4,584.93,6.6,14.66,0.2
"Kahlotus School District","2009-10",1994241,34200.67,3046.49,8.9,27370.68,80,3760.63,11,22.86,0.1
"Kalama School District","2009-10",7879547,7833.49,1611.82,20.6,5570.85,71.1,537.3,6.9,113.51,1.4
"Keller School District","2009-10",1230386,51459.05,1070.44,2.1,21489.44,41.8,28899.18,56.2,0,"-"
"Kelso School District","2009-10",45721791,9285.46,1387.02,14.9,6412.47,69.1,1460.89,15.7,25.08,0.3
"Kennewick School District","2009-10",144442932,9267.44,1392.08,15,6557.21,70.8,1279.02,13.8,39.12,0.4
"Kent School District","2009-10",246099885,9281.23,2115.27,22.8,6101.75,65.7,1059.57,11.4,4.64,0.1
"Kettle Falls School District","2009-10",8957196,9130.12,1135.55,12.4,6700.15,73.4,1286.29,14.1,8.12,0.1
"Kiona-Benton City School District","2009-10",15226264,10297.06,1454.04,14.1,6705.14,65.1,2034.98,19.8,102.9,1
"Kittitas School District","2009-10",6830828,9393.97,1782.01,19,6806.83,72.5,783.32,8.3,21.81,0.2
"Klickitat School District","2009-10",2144985,17800.7,947.31,5.3,14002.47,78.7,2305.24,13,545.69,3.1
"La Center School District","2009-10",12615008,8440.73,1834.13,21.7,6080.71,72,508.29,6,17.59,0.2
"La Conner School District","2009-10",9500323,15033.82,3711.33,24.7,6404.73,42.6,4834.71,32.2,83.05,0.6
"LaCrosse School District","2009-10",2429400,22713.16,4782.77,21.1,16388.43,72.2,1541.96,6.8,0,"-"
"Lake Chelan School District","2009-10",14530359,10901.48,2096.59,19.2,7019.06,64.4,1514.91,13.9,270.92,2.5
"Lake Quinault School District","2009-10",3429979,16126.66,2563.27,15.9,10639.8,66,2603.56,16.1,320.04,2
"Lake Stevens School District","2009-10",68185641,8963.29,1865.37,20.8,6189.51,69.1,793.42,8.9,115,1.3
"Lake Washington School District","2009-10",217346759,9223.4,2419.35,26.2,5909.41,64.1,700.7,7.6,193.94,2.1
"Lakewood School District","2009-10",22697556,9372.84,2251.01,24,6142.82,65.5,979.01,10.4,0,"-"
"Lamont School District","2009-10",724364,27742.77,5162.91,18.6,17823.07,64.2,4201.5,15.1,555.28,2
"Liberty School District","2009-10",5629771,12435.16,2623.77,21.1,8342.93,67.1,1450.88,11.7,17.59,0.1
"Lind School District","2009-10",3336883,16248.94,2876.97,17.7,11189.48,68.9,1748.91,10.8,433.58,2.7
"Longview School District","2009-10",67641287,9904.38,1944.94,19.6,6420.91,64.8,1523.9,15.4,14.63,0.1
"Loon Lake School District","2009-10",2353669,7693.99,779.41,10.1,5884.41,76.5,1030.17,13.4,0,"-"
"Lopez School District","2009-10",3541081,16460.96,4085.65,24.8,10691.44,65,1299.27,7.9,384.6,2.3
"Lyle School District","2009-10",3790946,12082.7,1277.62,10.6,8873.66,73.4,1647.88,13.6,283.54,2.3
"Lynden School District","2009-10",25148973,9143.19,1811.19,19.8,6176.71,67.6,1150.71,12.6,4.58,0.1
"Mabton School District","2009-10",10193241,10628.59,442.12,4.2,7023.15,66.1,3135.92,29.5,27.39,0.3
"Mansfield School District","2009-10",2116084,26015.29,2080.14,8,20850.25,80.1,3084.91,11.9,0,"-"
"Manson School District","2009-10",6923994,11560.03,1834.45,15.9,7747.76,67,1959.8,17,18.02,0.2
"Mary M Knight School District","2009-10",2804350,15495.36,2911.73,18.8,10642.9,68.7,1940.73,12.5,0,"-"
"Mary Walker School District","2009-10",6057000,10393.82,389.65,3.7,7633.96,73.4,2303.76,22.2,66.46,0.6
"Marysville School District","2009-10",109855043,9818.14,1942.44,19.8,6436.09,65.6,1290.24,13.1,149.37,1.5
"McCleary School District","2009-10",2860081,10045.95,1981.14,19.7,6322.81,62.9,1670.73,16.6,71.27,0.7
"Mead School District","2009-10",81297257,8899.83,1723.59,19.4,6170.8,69.3,997.13,11.2,8.31,0.1
"Medical Lake School District","2009-10",18998962,9510.66,588.71,6.2,6507.3,68.4,2411.34,25.4,3.3,0
"Mercer Island School District","2009-10",40219364,10094.34,3462.99,34.3,5968.45,59.1,614.66,6.1,48.24,0.5
"Meridian School District","2009-10",17162945,8232.89,1420.53,17.3,6019.47,73.1,792.9,9.6,0,"-"
"Methow Valley School District","2009-10",5641343,10868.59,2776.11,25.5,6814.73,62.7,947.65,8.7,330.1,3
"Mill A School District","2009-10",839969,14864.08,236.51,1.6,9279.8,62.4,4777.09,32.1,570.68,3.8
"Monroe School District","2009-10",65229166,8422.45,1801.23,21.4,5926.32,70.4,591.27,7,103.62,1.2
"Montesano School District","2009-10",11310973,9258.54,1609.97,17.4,6437.13,69.5,1178.94,12.7,32.5,0.4
"Morton School District","2009-10",4004960,12675.13,2013.4,15.9,8626.77,68.1,2034.96,16.1,0,"-"
"Moses Lake School District","2009-10",68821832,9215.4,1392.86,15.1,6457.33,70.1,1320.46,14.3,44.75,0.5
"Mossyrock School District","2009-10",5616158,9588.8,1300.09,13.6,6802.3,70.9,1470.97,15.3,15.45,0.2
"Mount Adams School District","2009-10",13031290,12949.45,249.45,1.9,6993.22,54,5584.72,43.1,122.05,0.9
"Mount Baker School District","2009-10",21459704,10204.81,2226.14,21.8,6697.6,65.6,1251.05,12.3,30.01,0.3
"Mount Pleasant School District","2009-10",485323,10879.25,167.77,1.5,6932.69,63.7,3724.67,34.2,54.13,0.5
"Mount Vernon School District","2009-10",64455923,10715.4,2001.23,18.7,6643.06,62,1942.33,18.1,128.79,1.2
"Mukilteo School District","2009-10",135677610,9510.58,2247.8,23.6,6325.35,66.5,904.7,9.5,32.72,0.3
"Naches Valley School District","2009-10",12808231,9107.1,1550.64,17,6258.98,68.7,1297.48,14.2,0,"-"
"Napavine School District","2009-10",6963395,9134.36,944.33,10.3,6621.19,72.5,1453.81,15.9,115.03,1.3
"Naselle-Grays River Valley School District","2009-10",5319645,12925.56,2216,17.1,9643.78,74.6,1065.79,8.2,0,"-"
"Nespelem School District","2009-10",3410801,22423.25,373.43,1.7,7974.67,35.6,13978.72,62.3,96.44,0.4
"Newport School District","2009-10",10836351,9822.74,1127.29,11.5,6987.64,71.1,1707.82,17.4,0,"-"
"Nine Mile Falls School District","2009-10",15078746,9185,1739.04,18.9,6452.9,70.3,991,10.8,2.07,0
"Nooksack Valley School District","2009-10",16678351,10629.45,1955.63,18.4,6753.86,63.5,1563.71,14.7,356.25,3.4
"North Beach School District","2009-10",6950545,10618.49,2538.66,23.9,6616.03,62.3,1432.56,13.5,31.24,0.3
"North Franklin School District","2009-10",19645925,9912.07,990.08,10,6999.56,70.6,1922.21,19.4,0.22,0
"North Kitsap School District","2009-10",63291216,9686.87,2332.25,24.1,6300.88,65,1014.1,10.5,39.65,0.4
"North Mason School District","2009-10",19985012,9353.65,1704.42,18.2,6565.33,70.2,1016.02,10.9,67.88,0.7
"North River School District","2009-10",1521603,32450.48,533.82,1.6,31224.17,96.2,692.48,2.1,0,"-"
"North Thurston Public Schools","2009-10",124637985,9248.98,2046.87,22.1,6184.06,66.9,1002.48,10.8,15.56,0.2
"Northport School District","2009-10",3639162,9824.69,706.81,7.2,7794.52,79.3,1302.07,13.3,21.29,0.2
"Northshore School District","2009-10",178595383,9458.06,2510.61,26.5,6258.43,66.2,648.74,6.9,40.28,0.4
"Oak Harbor School District","2009-10",47965953,8748.41,705.87,8.1,6168.51,70.5,1842.3,21.1,31.73,0.4
"Oakesdale School District","2009-10",2373133,21230.39,3143.39,14.8,16217.44,76.4,1867.32,8.8,2.24,0
"Oakville School District","2009-10",4005533,13748.65,1505.47,10.9,9107.35,66.2,2938.17,21.4,197.65,1.4
"Ocean Beach School District","2009-10",10339247,11218.44,2513.53,22.4,7162.21,63.8,1003.7,8.9,538.99,4.8
"Ocosta School District","2009-10",7442821,11199.96,2728.72,24.4,6722.22,60,1703.67,15.2,45.35,0.4
"Odessa School District","2009-10",3382967,16045.95,3146.38,19.6,10943.51,68.2,1956.06,12.2,0,"-"
"Okanogan School District","2009-10",10411061,10055.98,838.62,8.3,6729.11,66.9,2361.91,23.5,126.34,1.3
"Olympia School District","2009-10",83893187,9293.42,2310.79,24.9,6134.41,66,786.1,8.5,62.11,0.7
"Omak School District","2009-10",16893622,10072.94,1002.9,10,6618.79,65.7,2435.92,24.2,15.32,0.2
"Onalaska School District","2009-10",8251769,9411.66,1258.97,13.4,6402.95,68,1749.74,18.6,0,"-"
"Onion Creek School District","2009-10",968293,22036.7,1339,6.1,15975.98,72.5,4678.94,21.2,42.79,0.2
"Orcas Island School District","2009-10",6194878,11592.86,2695.52,23.3,7030.29,60.6,1325.8,11.4,541.26,4.7
"Orchard Prairie School District","2009-10",825839,11462.03,1227.65,10.7,8465.48,73.9,1741.21,15.2,27.69,0.2
"Orient School District","2009-10",2011576,9387.61,440.87,4.7,7250.22,77.2,1654.79,17.6,41.72,0.4
"Orondo School District","2009-10",2924456,15210.94,3573.73,23.5,8374.16,55.1,1767.27,11.6,1495.78,9.8
"Oroville School District","2009-10",6508142,10255.18,1482.51,14.5,6797.84,66.3,1974.83,19.3,0,"-"
"Orting School District","2009-10",19605497,8819.63,1842.26,20.9,6097.76,69.1,843.06,9.6,36.55,0.4
"Othello School District","2009-10",34101865,9328.28,662.11,7.1,6502.26,69.7,2163.91,23.2,0,"-"
"Palisades School District","2009-10",607070,30878.43,4915.99,15.9,18449.04,59.7,7513.4,24.3,0,"-"
"Palouse School District","2009-10",2706111,13810.21,2386.59,17.3,9955.78,72.1,1195.38,8.7,272.46,2
"Pasco School District","2009-10",133504164,9697.08,1295.61,13.4,6727.14,69.4,1634.87,16.9,39.46,0.4
"Pateros School District","2009-10",3597916,11990.65,1559.72,13,8607.85,71.8,1801.47,15,21.62,0.2
"Paterson School District","2009-10",1357856,13864.16,2334.55,16.8,8199.56,59.1,3330.05,24,0,"-"
